UserId,Gender,ReviewText,Predicted,PredictedNumeric
1,1,"Prompt: What do you enjoy doing in your free time? ers, I guess, depends on what kind of job you have. I don't know if you have a real job right now, I guess, depends on what kind of company you are, whether you're in the",Male,1
2,0,"Prompt: What do you enjoy doing in your free time? ery, I do some gardening, reading and doing a lot of mowing, and, gardening, mostly, because I'm in the home so much. mostly do it for fun, because, I'm a plant m",Female,0
1,1,"Prompt: What do you enjoy doing in your free time? ers, I don't know, kind of an outside consultant, I guess, to be honest with you. a kind of outside consultant, I'd say, if they were looking for someone to do their",Male,1
2,0,"Prompt: What do you enjoy doing in your free time? erythropic, though? I love it mostly because it helps me to think more of things that are outside my comfort zone and not be afraid to go out and do things that are outside of my comfort zone, like",Male,1
1,1,"Prompt: What do you enjoy doing in your free time? ers, I, I do a lot of traveling and stuff and camping and doing a lot of different things with my family and so forth. I guess, I enjoy doing a lot of different things with my family too",Male,1
2,0,"Prompt: What do you enjoy doing in your free time? ery age, what do you do? . I work for the State Department. I enjoy traveling. I enjoy staying in hotels and staying in hotels and working in hotels and working out of the home. I",Female,0
1,1,"Prompt: What do you enjoy doing in your free time? ers, I just love doing it at the office too. Just because I don't have time to sit down and write down everything I've done that day. Which is nice too because I don't have to do",Male,1
2,0,"Prompt: What do you enjoy doing in your free time? ersatz homework, as far as homework goes, is, kind of fun. And, reading, too, is kind of a hobby, too, that I enjoy doing sometimes. Because I like to read, especially when",Male,1
1,1,"Prompt: What do you enjoy doing in your free time? ers, I'm in business for myself. a, contractor for T I and a, temporary agency for, a company that I'm working with a little on the other side of the house. a, a",Male,1
2,0,"Prompt: What do you enjoy doing in your free time? eryx, I like to do, aerobics and weight lifting, as well as walking, running, and bicycling and things like that. Other than that, I like to do other things besides just walking and",Male,1
1,1,"Prompt: Can you describe your perfect weekend? iced tea, and coffee, and all kinds of activities to get you together and stay in shape, and that kind of thing? just, to go out and spend some time together and just have a good time, and just",Male,1
2,0,"Prompt: Can you describe your perfect weekend? erythema and erythema flower beds and, I'm sure, some of the little flower beds, the little flower beds and just a lot of other different flowers and stuff, like that? The little flower beds, little",Female,0
